PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK
Sean Behrens,Colorado Eagles,42,3,14,17,0.333,0.071,0.4,0.381,6,https://www.eliteprospects.com/player/464775/sean-behrens
Riley Stillman,Bakersfield Condors,45,3,14,17,0.311,0.067,0.38,1.756,-6,https://www.eliteprospects.com/player/252469/riley-stillman
Maxim Groshev,Syracuse Crunch,47,3,14,17,0.298,0.064,0.36,0.426,14,https://www.eliteprospects.com/player/532511/maxim-groshev
William Lagesson,Grand Rapids Griffins,48,3,14,17,0.292,0.062,0.35,0.646,29,https://www.eliteprospects.com/player/86158/william-lagesson
William Wallinder,Grand Rapids Griffins,57,1,16,17,0.281,0.018,0.3,0.368,15,https://www.eliteprospects.com/player/482190/william-wallinder
Justin Kirkland,Calgary Wranglers,29,10,6,16,0.207,0.345,0.55,0.621,-11,https://www.eliteprospects.com/player/63133/justin-kirkland
Patrick Giles,San Jose Barracuda,52,8,8,16,0.154,0.154,0.31,0.231,-9,https://www.eliteprospects.com/player/363655/patrick-giles
Keean Washkurak,Belleville Senators,54,8,8,16,0.148,0.148,0.3,1.741,-9,https://www.eliteprospects.com/player/433833/keean-washkurak
Denver Barkey,Lehigh Valley Phantoms,26,7,9,16,0.346,0.269,0.62,0.769,-2,https://www.eliteprospects.com/player/723026/denver-barkey
Jacob Melanson,Coachella Valley Firebirds,26,7,9,16,0.346,0.269,0.62,1.077,7,https://www.eliteprospects.com/player/473633/jacob-melanson
Thomas Bordeleau,totals,49,7,9,16,0.184,0.143,0.33,0.837,-18,https://www.eliteprospects.com/player/296636/thomas-bordeleau
Ronan Seeley,Chicago Wolves,54,7,9,16,0.167,0.13,0.3,0.148,-13,https://www.eliteprospects.com/player/413245/ronan-seeley
Daniel D'Amato,Bakersfield Condors,55,6,10,16,0.182,0.109,0.29,0.473,4,https://www.eliteprospects.com/player/583011/daniel-d-amato
Oliver Bonk,Lehigh Valley Phantoms,34,5,11,16,0.324,0.147,0.47,0.353,-7,https://www.eliteprospects.com/player/590255/oliver-bonk
Matyas Melovsky,Utica Comets,42,5,11,16,0.262,0.119,0.38,0.643,-7,https://www.eliteprospects.com/player/527443/matyas-melovsky
Maveric Lamoureux,Tucson Roadrunners,52,5,11,16,0.212,0.096,0.31,1.115,6,https://www.eliteprospects.com/player/578989/maveric-lamoureux
Joey Willis,Milwaukee Admirals,41,4,12,16,0.293,0.098,0.39,0.244,-1,https://www.eliteprospects.com/player/637631/joey-willis
Jack Hughes,Ontario Reign,48,4,12,16,0.25,0.083,0.33,0.542,1,https://www.eliteprospects.com/player/617526/jack-hughes
Garrett Wilson,Lehigh Valley Phantoms,54,4,12,16,0.222,0.074,0.3,1.87,-2,https://www.eliteprospects.com/player/23809/garrett-wilson
Scott Harrington,Belleville Senators,56,3,13,16,0.232,0.054,0.29,0.429,-16,https://www.eliteprospects.com/player/39653/scott-harrington
Ethan Bear,Bridgeport Islanders,27,2,14,16,0.519,0.074,0.59,0.444,5,https://www.eliteprospects.com/player/197561/ethan-bear
Taylor Makar,Colorado Eagles,42,9,6,15,0.143,0.214,0.36,1.143,10,https://www.eliteprospects.com/player/351159/taylor-makar
Grant Cruikshank,Hershey Bears,55,9,6,15,0.109,0.164,0.27,0.818,-12,https://www.eliteprospects.com/player/272303/grant-cruikshank
Stian Solberg,San Diego Gulls,57,9,6,15,0.105,0.158,0.26,1.579,-21,https://www.eliteprospects.com/player/619175/stian-solberg
Olivier Nadeau,Rochester Americans,41,8,7,15,0.171,0.195,0.37,0.39,0,https://www.eliteprospects.com/player/483754/olivier-nadeau
Bryce McConnell-Barker,Hartford Wolf Pack,55,8,7,15,0.127,0.145,0.27,0.255,-13,https://www.eliteprospects.com/player/640853/bryce-mcconnell-barker
Ethan Cardwell,San Jose Barracuda,24,7,8,15,0.333,0.292,0.63,0.708,2,https://www.eliteprospects.com/player/201866/ethan-cardwell
Luke Toporowski,totals,31,7,8,15,0.258,0.226,0.48,1.484,3,https://www.eliteprospects.com/player/315967/luke-toporowski
Guillaume Richard,Cleveland Monsters,56,7,8,15,0.143,0.125,0.27,0.321,16,https://www.eliteprospects.com/player/551201/guillaume-richard
John Farinacci,Providence Bruins,57,7,8,15,0.14,0.123,0.26,0.105,-2,https://www.eliteprospects.com/player/445599/john-farinacci
Gabriel Seger,Grand Rapids Griffins,57,7,8,15,0.14,0.123,0.26,0.351,12,https://www.eliteprospects.com/player/266077/gabriel-seger
Carl Grundstrom,Lehigh Valley Phantoms,19,6,9,15,0.474,0.316,0.79,0.316,5,https://www.eliteprospects.com/player/113516/carl-grundstrom
Jake Schmaltz,Providence Bruins,50,6,9,15,0.18,0.12,0.3,0.2,3,https://www.eliteprospects.com/player/316160/jake-schmaltz
Mattias Havelid,San Jose Barracuda,44,5,10,15,0.227,0.114,0.34,0.364,2,https://www.eliteprospects.com/player/577575/mattias-havelid
Otto Stenberg,Springfield Thunderbirds,33,4,11,15,0.333,0.121,0.45,0.182,4,https://www.eliteprospects.com/player/534828/otto-stenberg
Mikulas Hovorka,Charlotte Checkers,46,4,11,15,0.239,0.087,0.33,0.913,25,https://www.eliteprospects.com/player/425297/mikulas-hovorka
Nate Danielson,Grand Rapids Griffins,18,3,12,15,0.667,0.167,0.83,0.222,7,https://www.eliteprospects.com/player/562426/nate-danielson
Aleksi Heimosalmi,Chicago Wolves,40,3,12,15,0.3,0.075,0.38,0.8,5,https://www.eliteprospects.com/player/601642/aleksi-heimosalmi
Jimmy Schuldt,Abbotsford Canucks,60,3,12,15,0.2,0.05,0.25,0.75,-24,https://www.eliteprospects.com/player/196941/jimmy-schuldt
Zach Metsa,Rochester Americans,16,2,13,15,0.812,0.125,0.94,0.125,4,https://www.eliteprospects.com/player/272304/zach-metsa
Isaiah George,Bridgeport Islanders,43,2,13,15,0.302,0.047,0.35,0.419,8,https://www.eliteprospects.com/player/526091/isaiah-george
Finn Harding,Wilkes-Barre/Scranton Penguins,43,2,13,15,0.302,0.047,0.35,0.791,26,https://www.eliteprospects.com/player/603127/finn-harding
Kirill Kudryavtsev,Abbotsford Canucks,34,1,14,15,0.412,0.029,0.44,0.118,-14,https://www.eliteprospects.com/player/699365/kirill-kudryavtsev
Anthony Vincent,San Jose Barracuda,50,8,6,14,0.12,0.16,0.28,1.84,-3,https://www.eliteprospects.com/player/300460/anthony-vincent
Mike Hardman,Utica Comets,45,7,7,14,0.156,0.156,0.31,0.267,-15,https://www.eliteprospects.com/player/353521/mike-hardman
Caedan Bankier,Iowa Wild,50,7,7,14,0.14,0.14,0.28,0.24,-10,https://www.eliteprospects.com/player/538921/caedan-bankier
Cam Thiesing,Bridgeport Islanders,50,6,8,14,0.16,0.12,0.28,0.78,2,https://www.eliteprospects.com/player/335885/cam-thiesing
Theo Lindstein,Springfield Thunderbirds,56,6,8,14,0.143,0.107,0.25,0.321,-24,https://www.eliteprospects.com/player/704824/theo-lindstein
Owen Allard,Tucson Roadrunners,59,6,8,14,0.136,0.102,0.24,0.237,-9,https://www.eliteprospects.com/player/562236/owen-allard
Andrei Loshko,Coachella Valley Firebirds,48,5,9,14,0.188,0.104,0.29,0.25,6,https://www.eliteprospects.com/player/707666/andrei-loshko
Jamieson Rees,Belleville Senators,49,5,9,14,0.184,0.102,0.29,0.735,-8,https://www.eliteprospects.com/player/418060/jamieson-rees
Akil Thomas,totals,28,4,10,14,0.357,0.143,0.5,0.357,-7,https://www.eliteprospects.com/player/364033/akil-thomas
Jack Peart,Iowa Wild,49,4,10,14,0.204,0.082,0.29,0.408,-15,https://www.eliteprospects.com/player/616254/jack-peart
Tyson Hinds,San Diego Gulls,54,4,10,14,0.185,0.074,0.26,0.315,9,https://www.eliteprospects.com/player/485317/tyson-hinds
David Jiricek,totals,28,3,11,14,0.393,0.107,0.5,0.5,-16,https://www.eliteprospects.com/player/559522/david-ji%C5%99icek
Riley Duran,Providence Bruins,58,3,11,14,0.19,0.052,0.24,0.345,12,https://www.eliteprospects.com/player/552533/riley-duran
Sam Rinzel,Rockford IceHogs,23,2,12,14,0.522,0.087,0.61,0.696,-8,https://www.eliteprospects.com/player/670126/sam-rinzel
Ronnie Attard,Colorado Eagles,40,2,12,14,0.3,0.05,0.35,0.8,4,https://www.eliteprospects.com/player/284030/ronnie-attard
Justin Holl,Grand Rapids Griffins,41,2,12,14,0.293,0.049,0.34,0.244,19,https://www.eliteprospects.com/player/46905/justin-holl
Angus Booth,Ontario Reign,49,1,13,14,0.265,0.02,0.29,0.571,5,https://www.eliteprospects.com/player/578244/angus-booth
Ben Meyers,Coachella Valley Firebirds,11,9,4,13,0.364,0.818,1.18,0.182,2,https://www.eliteprospects.com/player/300838/ben-meyers
Tyler Pitlick,Iowa Wild,15,9,4,13,0.267,0.6,0.87,0,-2,https://www.eliteprospects.com/player/40064/tyler-pitlick
Luke Tuch,Laval Rocket,57,9,4,13,0.07,0.158,0.23,1.088,8,https://www.eliteprospects.com/player/470086/luke-tuch
Noah Gregor,Charlotte Checkers,21,8,5,13,0.238,0.381,0.62,0.19,3,https://www.eliteprospects.com/player/162892/noah-gregor
Nathan Legare,Utica Comets,52,8,5,13,0.096,0.154,0.25,1.25,-12,https://www.eliteprospects.com/player/296698/nathan-legare
Brad Lambert,Manitoba Moose,34,6,7,13,0.206,0.176,0.38,0.529,-10,https://www.eliteprospects.com/player/414961/brad-lambert
Anton Blidh,Hartford Wolf Pack,50,6,7,13,0.14,0.12,0.26,1,-16,https://www.eliteprospects.com/player/67179/anton-blidh
Michal Kunc,Tucson Roadrunners,37,5,8,13,0.216,0.135,0.35,0.27,-7,https://www.eliteprospects.com/player/267809/michal-kunc
Isaac Ratcliffe,Milwaukee Admirals,42,5,8,13,0.19,0.119,0.31,1.262,-2,https://www.eliteprospects.com/player/300398/isaac-ratcliffe
James Malatesta,Cleveland Monsters,48,5,8,13,0.167,0.104,0.27,1.771,-1,https://www.eliteprospects.com/player/484164/james-malatesta
Devin Kaplan,Lehigh Valley Phantoms,49,5,8,13,0.163,0.102,0.27,1.265,-13,https://www.eliteprospects.com/player/526063/devin-kaplan
Hudson Fasching,Cleveland Monsters,55,5,8,13,0.145,0.091,0.24,0.182,-8,https://www.eliteprospects.com/player/114801/hudson-fasching
Nico Myatovic,San Diego Gulls,58,5,8,13,0.138,0.086,0.22,0.448,4,https://www.eliteprospects.com/player/650108/nico-myatovic
Hunter Brzustewicz,Calgary Wranglers,34,4,9,13,0.265,0.118,0.38,0.235,-5,https://www.eliteprospects.com/player/526088/hunter-brzustewicz
Matt Benning,Toronto Marlies,29,3,10,13,0.345,0.103,0.45,0.724,3,https://www.eliteprospects.com/player/29261/matt-benning
Jeremie Poirier,totals,42,3,10,13,0.238,0.071,0.31,0.69,-14,https://www.eliteprospects.com/player/201907/jeremie-poirier
David Gucciardi,Hershey Bears,43,3,10,13,0.233,0.07,0.3,1.14,5,https://www.eliteprospects.com/player/504264/david-gucciardi
Sean Day,Bridgeport Islanders,50,3,10,13,0.2,0.06,0.26,0.08,-6,https://www.eliteprospects.com/player/228106/sean-day
Cam Dineen,Bakersfield Condors,27,2,11,13,0.407,0.074,0.48,0.519,-1,https://www.eliteprospects.com/player/268444/cam-dineen
Artyom Duda,Tucson Roadrunners,27,2,11,13,0.407,0.074,0.48,0.815,7,https://www.eliteprospects.com/player/620321/artyom-duda
Ville Ottavainen,Coachella Valley Firebirds,39,2,11,13,0.282,0.051,0.33,1.308,8,https://www.eliteprospects.com/player/530727/ville-ottavainen
Tyler Thorpe,Laval Rocket,59,2,11,13,0.186,0.034,0.22,1.119,3,https://www.eliteprospects.com/player/735110/tyler-thorpe
Jake Livingstone,Charlotte Checkers,41,1,12,13,0.293,0.024,0.32,0.488,8,https://www.eliteprospects.com/player/358393/jake-livingstone
Alex Kannok Leipert,Grand Rapids Griffins,55,1,12,13,0.218,0.018,0.24,0.891,11,https://www.eliteprospects.com/player/287497/alex-kannok-leipert
Chase Pietila,Wilkes-Barre/Scranton Penguins,55,1,12,13,0.218,0.018,0.24,1.073,20,https://www.eliteprospects.com/player/655358/chase-pietila
Billy Sweezey,Providence Bruins,56,1,12,13,0.214,0.018,0.23,1.036,23,https://www.eliteprospects.com/player/286681/billy-sweezey
Alex Gagne,Colorado Eagles,57,1,12,13,0.211,0.018,0.23,0.895,15,https://www.eliteprospects.com/player/510343/alex-gagne
Dennis Gilbert,totals,37,0,13,13,0.351,0,0.35,0.892,0,https://www.eliteprospects.com/player/267396/dennis-gilbert
Travis Mitchell,Bridgeport Islanders,46,0,13,13,0.283,0,0.28,1.739,2,https://www.eliteprospects.com/player/284033/travis-mitchell
Braeden Bowman,Henderson Silver Knights,12,7,5,12,0.417,0.583,1,0.5,1,https://www.eliteprospects.com/player/582646/braeden-bowman
Ryder Rolston,Milwaukee Admirals,40,7,5,12,0.125,0.175,0.3,0.15,0,https://www.eliteprospects.com/player/369853/ryder-rolston
Oscar Eklind,Lehigh Valley Phantoms,36,6,6,12,0.167,0.167,0.33,0.333,11,https://www.eliteprospects.com/player/233155/oscar-eklind
Ryan Chesley,Hershey Bears,53,6,6,12,0.113,0.113,0.23,0.302,-20,https://www.eliteprospects.com/player/556717/ryan-chesley
Reese Johnson,Toronto Marlies,38,5,7,12,0.184,0.132,0.32,0.711,0,https://www.eliteprospects.com/player/279121/reese-johnson
Landen Hookey,Belleville Senators,46,5,7,12,0.152,0.109,0.26,1.087,3,https://www.eliteprospects.com/player/640828/landen-hookey
Pavol Regenda,San Jose Barracuda,28,4,8,12,0.286,0.143,0.43,0.571,-3,https://www.eliteprospects.com/player/249755/pavol-regenda
Cal Foote,Chicago Wolves,32,4,8,12,0.25,0.125,0.38,0.5,9,https://www.eliteprospects.com/player/247895/cal-foote
Victor Mancini,Abbotsford Canucks,33,4,8,12,0.242,0.121,0.36,0.485,1,https://www.eliteprospects.com/player/290051/victor-mancini
Dmitri Kuzmin,Rockford IceHogs,41,4,8,12,0.195,0.098,0.29,0.268,1,https://www.eliteprospects.com/player/618502/dmitri-kuzmin
Xavier Simoneau,Laval Rocket,43,4,8,12,0.186,0.093,0.28,1.302,8,https://www.eliteprospects.com/player/376443/xavier-simoneau
Hunter Skinner,Springfield Thunderbirds,47,4,8,12,0.17,0.085,0.26,1.149,0,https://www.eliteprospects.com/player/359531/hunter-skinner
Connor Mackey,Hartford Wolf Pack,50,4,8,12,0.16,0.08,0.24,1.58,-9,https://www.eliteprospects.com/player/316315/connor-mackey
Joey Abate,Providence Bruins,51,4,8,12,0.157,0.078,0.24,1.667,3,https://www.eliteprospects.com/player/271357/joey-abate
Kirill Kirsanov,Ontario Reign,56,4,8,12,0.143,0.071,0.21,0.179,7,https://www.eliteprospects.com/player/542519/kirill-kirsanov
Michael Milne,totals,68,4,8,12,0.118,0.059,0.18,0.941,-26,https://www.eliteprospects.com/player/477344/michael-milne
Nikita Prishchepov,Colorado Eagles,22,3,9,12,0.409,0.136,0.55,1.273,3,https://www.eliteprospects.com/player/691679/nikita-prishchepov
Joe Fleming,Henderson Silver Knights,48,3,9,12,0.188,0.062,0.25,2.375,-10,https://www.eliteprospects.com/player/617531/joe-fleming
Helge Grans,Lehigh Valley Phantoms,52,3,9,12,0.173,0.058,0.23,0.423,-11,https://www.eliteprospects.com/player/395302/helge-grans
Ethan Samson,totals,32,2,10,12,0.312,0.062,0.38,0.625,3,https://www.eliteprospects.com/player/559018/ethan-samson
Josh Brown,Bakersfield Condors,49,2,10,12,0.204,0.041,0.24,1.449,7,https://www.eliteprospects.com/player/82512/josh-brown
Noah Warren,San Diego Gulls,56,2,10,12,0.179,0.036,0.21,0.464,6,https://www.eliteprospects.com/player/574586/noah-warren
Chase Bradley,Colorado Eagles,38,8,3,11,0.079,0.211,0.29,1.105,9,https://www.eliteprospects.com/player/201795/chase-bradley
Hayden Hodgson,Belleville Senators,38,6,5,11,0.132,0.158,0.29,2.711,-11,https://www.eliteprospects.com/player/188193/hayden-hodgson
Alexandre Doucet,Grand Rapids Griffins,46,6,5,11,0.109,0.13,0.24,0.261,7,https://www.eliteprospects.com/player/201898/alexandre-doucet
Dominik Badinka,Chicago Wolves,52,6,5,11,0.096,0.115,0.21,0.192,4,https://www.eliteprospects.com/player/727927/dominik-badinka
Bokondji Imama,Wilkes-Barre/Scranton Penguins,55,6,5,11,0.091,0.109,0.2,1.6,1,https://www.eliteprospects.com/player/151711/bokondji-imama
Zach Aston-Reese,Cleveland Monsters,18,5,6,11,0.333,0.278,0.61,0.722,5,https://www.eliteprospects.com/player/98068/zach-aston-reese
Brendan Warren,Rochester Americans,51,5,6,11,0.118,0.098,0.22,0.373,-8,https://www.eliteprospects.com/player/208973/brendan-warren
Spencer Smallman,Hershey Bears,24,4,7,11,0.292,0.167,0.46,0.625,2,https://www.eliteprospects.com/player/166979/spencer-smallman
Cam Squires,Utica Comets,36,4,7,11,0.194,0.111,0.31,0.167,-1,https://www.eliteprospects.com/player/649026/cam-squires
Mark Senden,Colorado Eagles,41,4,7,11,0.171,0.098,0.27,0.439,9,https://www.eliteprospects.com/player/300834/mark-senden
Gabriel Szturc,Syracuse Crunch,47,4,7,11,0.149,0.085,0.23,0.426,-2,https://www.eliteprospects.com/player/426117/gabriel-szturc
Martin Misiak,Rockford IceHogs,50,4,7,11,0.14,0.08,0.22,0.46,-4,https://www.eliteprospects.com/player/527425/martin-misiak
Carter King,Calgary Wranglers,55,4,7,11,0.127,0.073,0.2,0.145,-11,https://www.eliteprospects.com/player/412951/carter-king
Aaron Huglen,Wilkes-Barre/Scranton Penguins,40,3,8,11,0.2,0.075,0.28,0.45,-3,https://www.eliteprospects.com/player/485574/aaron-huglen
Marek Alscher,Charlotte Checkers,44,3,8,11,0.182,0.068,0.25,0.545,16,https://www.eliteprospects.com/player/537884/marek-alscher
Caleb MacDonald,Cleveland Monsters,52,3,8,11,0.154,0.058,0.21,1.038,-1,https://www.eliteprospects.com/player/505193/caleb-macdonald
Declan Carlile,Syracuse Crunch,16,2,9,11,0.562,0.125,0.69,1.688,1,https://www.eliteprospects.com/player/276195/declan-carlile
Shai Buium,Grand Rapids Griffins,24,2,9,11,0.375,0.083,0.46,0.25,-3,https://www.eliteprospects.com/player/512185/shai-buium
Samuel Johannesson,Springfield Thunderbirds,26,2,9,11,0.346,0.077,0.42,0.308,-20,https://www.eliteprospects.com/player/342865/samuel-johannesson
Ryan McGregor,Tucson Roadrunners,35,2,9,11,0.257,0.057,0.31,0.4,1,https://www.eliteprospects.com/player/289231/ryan-mcgregor
Jake Wise,Colorado Eagles,42,2,9,11,0.214,0.048,0.26,0.238,3,https://www.eliteprospects.com/player/268432/jake-wise
Caden Price,Coachella Valley Firebirds,42,2,9,11,0.214,0.048,0.26,0.357,3,https://www.eliteprospects.com/player/607323/caden-price
Michael Callahan,Providence Bruins,43,2,9,11,0.209,0.047,0.26,0.372,23,https://www.eliteprospects.com/player/201479/michael-callahan
Andreas Englund,Milwaukee Admirals,49,2,9,11,0.184,0.041,0.22,1.327,2,https://www.eliteprospects.com/player/115148/andreas-englund
Jon McDonald,Hershey Bears,50,2,9,11,0.18,0.04,0.22,0.6,0,https://www.eliteprospects.com/player/344385/jon-mcdonald
Ashton Sautner,Manitoba Moose,51,2,9,11,0.176,0.039,0.22,0.863,11,https://www.eliteprospects.com/player/84404/ashton-sautner
Lukas Dragicevic,Coachella Valley Firebirds,43,1,10,11,0.233,0.023,0.26,0.512,-4,https://www.eliteprospects.com/player/529817/lukas-dragicevic
Joseph LaBate,Abbotsford Canucks,23,6,4,10,0.174,0.261,0.43,2.783,-15,https://www.eliteprospects.com/player/75066/joseph-labate
Tanner Howe,Wilkes-Barre/Scranton Penguins,15,5,5,10,0.333,0.333,0.67,0.667,1,https://www.eliteprospects.com/player/647116/tanner-howe
Kaden Hammell,Coachella Valley Firebirds,33,5,5,10,0.152,0.152,0.3,0.727,13,https://www.eliteprospects.com/player/535571/kaden-hammell
Marc McLaughlin,Utica Comets,15,4,6,10,0.4,0.267,0.67,0.4,1,https://www.eliteprospects.com/player/300610/marc-mclaughlin
Eetu Liukas,Bridgeport Islanders,24,4,6,10,0.25,0.167,0.42,0.5,4,https://www.eliteprospects.com/player/470708/eetu-liukas
Luke Krys,Texas Stars,24,4,6,10,0.25,0.167,0.42,0.833,2,https://www.eliteprospects.com/player/364240/luke-krys
Donavan Houle,San Jose Barracuda,24,4,6,10,0.25,0.167,0.42,0.875,3,https://www.eliteprospects.com/player/560870/donavan-houle
Hunter St. Martin,Charlotte Checkers,33,4,6,10,0.182,0.121,0.3,0.788,6,https://www.eliteprospects.com/player/641459/hunter-st.-martin
Michael Pezzetta,Toronto Marlies,37,4,6,10,0.162,0.108,0.27,1.405,-7,https://www.eliteprospects.com/player/269038/michael-pezzetta
Miko Matikka,Tucson Roadrunners,45,4,6,10,0.133,0.089,0.22,0.422,-13,https://www.eliteprospects.com/player/628519/miko-matikka
Noah Ostlund,Rochester Americans,7,3,7,10,1,0.429,1.43,0.286,0,https://www.eliteprospects.com/player/535699/noah-ostlund
Sonny Milano,Hershey Bears,8,3,7,10,0.875,0.375,1.25,0,4,https://www.eliteprospects.com/player/189415/sonny-milano
Ryan Graves,Wilkes-Barre/Scranton Penguins,15,3,7,10,0.467,0.2,0.67,0.267,4,https://www.eliteprospects.com/player/103763/ryan-graves
Kyle McDonald,Texas Stars,24,3,7,10,0.292,0.125,0.42,0.25,-1,https://www.eliteprospects.com/player/413652/kyle-mcdonald
Tobie Paquette-Bisson,Laval Rocket,44,3,7,10,0.159,0.068,0.23,0.318,16,https://www.eliteprospects.com/player/213820/tobie-paquette-bisson
David Goyette,Coachella Valley Firebirds,47,3,7,10,0.149,0.064,0.21,1.447,3,https://www.eliteprospects.com/player/562220/david-goyette
Mathieu Cataford,Henderson Silver Knights,51,3,7,10,0.137,0.059,0.2,0.314,-19,https://www.eliteprospects.com/player/597877/mathieu-cataford
Keaton Middleton,Colorado Eagles,54,3,7,10,0.13,0.056,0.19,1.037,20,https://www.eliteprospects.com/player/249597/keaton-middleton
Braden Hache,San Jose Barracuda,57,3,7,10,0.123,0.053,0.18,1.579,5,https://www.eliteprospects.com/player/614397/braden-hache
Phil Kemp,Wilkes-Barre/Scranton Penguins,60,3,7,10,0.117,0.05,0.17,0.933,1,https://www.eliteprospects.com/player/311901/phil-kemp
Samu Tuomaala,totals,19,2,8,10,0.421,0.105,0.53,0.316,-3,https://www.eliteprospects.com/player/499422/samu-tuomaala
Luca Marrelli,Cleveland Monsters,21,2,8,10,0.381,0.095,0.48,0.286,-4,https://www.eliteprospects.com/player/726394/luca-marrelli
Beau Akey,Bakersfield Condors,38,2,8,10,0.211,0.053,0.26,0.474,13,https://www.eliteprospects.com/player/613079/beau-akey
Austin Strand,Utica Comets,39,2,8,10,0.205,0.051,0.26,1.051,-3,https://www.eliteprospects.com/player/161123/austin-strand
Turner Ottenbreit,Calgary Wranglers,48,2,8,10,0.167,0.042,0.21,1,-7,https://www.eliteprospects.com/player/199124/turner-ottenbreit
Luke Rowe,Bridgeport Islanders,51,1,9,10,0.176,0.02,0.2,1.137,9,https://www.eliteprospects.com/player/322571/luke-rowe
Ryan Mast,Rockford IceHogs,36,0,10,10,0.278,0,0.28,0.278,0,https://www.eliteprospects.com/player/512167/ryan-mast
Oliver Moore,Rockford IceHogs,9,6,3,9,0.333,0.667,1,0.222,8,https://www.eliteprospects.com/player/603195/oliver-moore
Carter Mazur,Grand Rapids Griffins,9,6,3,9,0.333,0.667,1,0.889,8,https://www.eliteprospects.com/player/201766/carter-mazur
Vilmer Alriksson,Abbotsford Canucks,43,6,3,9,0.07,0.14,0.21,1.302,-28,https://www.eliteprospects.com/player/617583/vilmer-alriksson
Bradley Marek,Iowa Wild,52,6,3,9,0.058,0.115,0.17,1.269,-1,https://www.eliteprospects.com/player/370261/bradley-marek
Nick Poisson,Abbotsford Canucks,34,5,4,9,0.118,0.147,0.26,0.118,-6,https://www.eliteprospects.com/player/473851/nick-poisson
Michael Buchinger,Springfield Thunderbirds,45,5,4,9,0.089,0.111,0.2,0.533,-8,https://www.eliteprospects.com/player/526053/michael-buchinger
Nikita Nesterenko,San Diego Gulls,23,4,5,9,0.217,0.174,0.39,0.696,-4,https://www.eliteprospects.com/player/295642/nikita-nesterenko
Nikita Chibrikov,Manitoba Moose,40,4,5,9,0.125,0.1,0.23,0.3,-15,https://www.eliteprospects.com/player/527467/nikita-chibrikov
Julian Lutz,Tucson Roadrunners,45,4,5,9,0.111,0.089,0.2,1.022,-10,https://www.eliteprospects.com/player/601111/julian-lutz
Jaycob Megna,Henderson Silver Knights,49,4,5,9,0.102,0.082,0.18,0.592,10,https://www.eliteprospects.com/player/84762/jaycob-megna
Kyle Marino,Milwaukee Admirals,53,4,5,9,0.094,0.075,0.17,2.34,0,https://www.eliteprospects.com/player/210307/kyle-marino
Scott Morrow,Hartford Wolf Pack,20,3,6,9,0.3,0.15,0.45,1.95,-8,https://www.eliteprospects.com/player/201892/scott-morrow
Jakov Novak,Coachella Valley Firebirds,26,3,6,9,0.231,0.115,0.35,0.385,1,https://www.eliteprospects.com/player/269880/jakov-novak
Brandon Scanlin,Hartford Wolf Pack,35,3,6,9,0.171,0.086,0.26,1.057,-7,https://www.eliteprospects.com/player/283287/brandon-scanlin
Vsevolod Komarov,Rochester Americans,44,3,6,9,0.136,0.068,0.2,0.977,-4,https://www.eliteprospects.com/player/709023/vsevolod-komarov
Cameron Crotty,Belleville Senators,47,3,6,9,0.128,0.064,0.19,0.617,-5,https://www.eliteprospects.com/player/299556/cameron-crotty
Colby Barlow,Manitoba Moose,48,3,6,9,0.125,0.062,0.19,0.333,-2,https://www.eliteprospects.com/player/603562/colby-barlow
Dylan Anhorn,Manitoba Moose,29,2,7,9,0.241,0.069,0.31,0.414,6,https://www.eliteprospects.com/player/281318/dylan-anhorn
Robbie Russo,Tucson Roadrunners,47,2,7,9,0.149,0.043,0.19,0.383,-9,https://www.eliteprospects.com/player/38628/robbie-russo
Cole Clayton,totals,54,2,7,9,0.13,0.037,0.17,0.889,-12,https://www.eliteprospects.com/player/282470/cole-clayton
Elias Salomonsson,Manitoba Moose,29,1,8,9,0.276,0.034,0.31,0.345,-2,https://www.eliteprospects.com/player/574931/elias-salomonsson
Jett Woo,totals,29,1,8,9,0.276,0.034,0.31,2.69,-9,https://www.eliteprospects.com/player/281813/jett-woo
Montana Onyebuchi,Tucson Roadrunners,35,1,8,9,0.229,0.029,0.26,1.371,-5,https://www.eliteprospects.com/player/351091/montana-onyebuchi
Jack Malone,Utica Comets,45,1,8,9,0.178,0.022,0.2,0.222,0,https://www.eliteprospects.com/player/364031/jack-malone
Nate Clurman,Laval Rocket,51,1,8,9,0.157,0.02,0.18,0.314,6,https://www.eliteprospects.com/player/353810/nate-clurman
Viliam Kmec,Henderson Silver Knights,51,1,8,9,0.157,0.02,0.18,0.412,5,https://www.eliteprospects.com/player/527420/viliam-kmec
Simon Lundmark,Syracuse Crunch,44,0,9,9,0.205,0,0.2,0.455,1,https://www.eliteprospects.com/player/344757/simon-lundmark
Julien Gauthier,totals,17,6,2,8,0.118,0.353,0.47,0.353,1,https://www.eliteprospects.com/player/213464/julien-gauthier
Mackenzie MacEachern,Abbotsford Canucks,21,6,2,8,0.095,0.286,0.38,0.381,-9,https://www.eliteprospects.com/player/183505/mackenzie-maceachern
Scott Sabourin,Syracuse Crunch,24,6,2,8,0.083,0.25,0.33,0.917,2,https://www.eliteprospects.com/player/45588/scott-sabourin
Fyodor Svechkov,Milwaukee Admirals,10,5,3,8,0.3,0.5,0.8,0.4,1,https://www.eliteprospects.com/player/693396/fyodor-svechkov
